"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Germany","2012","Total","Both Sexes","Aachen","City proper","Estimate - de jure","Final figure, complete","2012","260454",""
"Germany","2012","Total","Both Sexes","Augsburg","City proper","Estimate - de jure","Final figure, complete","2012","266647",""
"Germany","2012","Total","Both Sexes","Bergisch Gladbach","City proper","Estimate - de jure","Final figure, complete","2012","105836",""
"Germany","2012","Total","Both Sexes","BERLIN","City proper","Estimate - de jure","Final figure, complete","2012","3501872",""
"Germany","2012","Total","Both Sexes","Bielefeld","City proper","Estimate - de jure","Final figure, complete","2012","323395",""
"Germany","2012","Total","Both Sexes","Bochum","City proper","Estimate - de jure","Final figure, complete","2012","373976",""
"Germany","2012","Total","Both Sexes","Bonn","City proper","Estimate - de jure","Final figure, complete","2012","327913",""
"Germany","2012","Total","Both Sexes","Bottrop","City proper","Estimate - de jure","Final figure, complete","2012","116361",""
"Germany","2012","Total","Both Sexes","Braunschweig","City proper","Estimate - de jure","Final figure, complete","2012","250556",""
"Germany","2012","Total","Both Sexes","Bremen","City proper","Estimate - de jure","Final figure, complete","2012","548319",""
"Germany","2012","Total","Both Sexes","Bremerhaven","City proper","Estimate - de jure","Final figure, complete","2012","112982",""
"Germany","2012","Total","Both Sexes","Chemnitz","City proper","Estimate - de jure","Final figure, complete","2012","243173",""
"Germany","2012","Total","Both Sexes","Cottbus","City proper","Estimate - de jure","Final figure, complete","2012","102129",""
"Germany","2012","Total","Both Sexes","Darmstadt","City proper","Estimate - de jure","Final figure, complete","2012","149052",""
"Germany","2012","Total","Both Sexes","Dortmund","City proper","Estimate - de jure","Final figure, complete","2012","580956",""
"Germany","2012","Total","Both Sexes","Dresden","City proper","Estimate - de jure","Final figure, complete","2012","529781",""
"Germany","2012","Total","Both Sexes","Duisburg","City proper","Estimate - de jure","Final figure, complete","2012","488005",""
"Germany","2012","Total","Both Sexes","Düsseldorf","City proper","Estimate - de jure","Final figure, complete","2012","592393",""
"Germany","2012","Total","Both Sexes","Erfurt","City proper","Estimate - de jure","Final figure, complete","2012","206384",""
"Germany","2012","Total","Both Sexes","Erlangen","City proper","Estimate - de jure","Final figure, complete","2012","106326",""
"Germany","2012","Total","Both Sexes","Essen","City proper","Estimate - de jure","Final figure, complete","2012","573468",""
"Germany","2012","Total","Both Sexes","Frankfurt am Main","City proper","Estimate - de jure","Final figure, complete","2012","691518",""
"Germany","2012","Total","Both Sexes","Freiburg im Breisgau","City proper","Estimate - de jure","Final figure, complete","2012","229144",""
"Germany","2012","Total","Both Sexes","Fürth","City proper","Estimate - de jure","Final figure, complete","2012","116317",""
"Germany","2012","Total","Both Sexes","Gelsenkirchen","City proper","Estimate - de jure","Final figure, complete","2012","256652",""
"Germany","2012","Total","Both Sexes","Göttingen","City proper","Estimate - de jure","Final figure, complete","2012","121364",""
"Germany","2012","Total","Both Sexes","Hagen","City proper","Estimate - de jure","Final figure, complete","2012","187447",""
"Germany","2012","Total","Both Sexes","Halle (Saale)","City proper","Estimate - de jure","Final figure, complete","2012","233705",""
"Germany","2012","Total","Both Sexes","Hamburg","City proper","Estimate - de jure","Final figure, complete","2012","1798836",""
"Germany","2012","Total","Both Sexes","Hamm","City proper","Estimate - de jure","Final figure, complete","2012","182112",""
"Germany","2012","Total","Both Sexes","Hannover","City proper","Estimate - de jure","Final figure, complete","2012","525875",""
"Germany","2012","Total","Both Sexes","Heidelberg","City proper","Estimate - de jure","Final figure, complete","2012","149633",""
"Germany","2012","Total","Both Sexes","Heilbronn","City proper","Estimate - de jure","Final figure, complete","2012","124257",""
"Germany","2012","Total","Both Sexes","Herne","City proper","Estimate - de jure","Final figure, complete","2012","164244",""
"Germany","2012","Total","Both Sexes","Hildesheim","City proper","Estimate - de jure","Final figure, complete","2012","102584",""
"Germany","2012","Total","Both Sexes","Ingolstadt","City proper","Estimate - de jure","Final figure, complete","2012","126732",""
"Germany","2012","Total","Both Sexes","Jena","City proper","Estimate - de jure","Final figure, complete","2012","105463",""
"Germany","2012","Total","Both Sexes","Karlsruhe","City proper","Estimate - de jure","Final figure, complete","2012","297488",""
"Germany","2012","Total","Both Sexes","Kassel","City proper","Estimate - de jure","Final figure, complete","2012","196496",""
"Germany","2012","Total","Both Sexes","Kiel","City proper","Estimate - de jure","Final figure, complete","2012","242041",""
"Germany","2012","Total","Both Sexes","Koblenz","City proper","Estimate - de jure","Final figure, complete","2012","106677",""
"Germany","2012","Total","Both Sexes","Köln","City proper","Estimate - de jure","Final figure, complete","2012","1017155",""
"Germany","2012","Total","Both Sexes","Krefeld","City proper","Estimate - de jure","Final figure, complete","2012","234396",""
"Germany","2012","Total","Both Sexes","Leipzig","City proper","Estimate - de jure","Final figure, complete","2012","531809",""
"Germany","2012","Total","Both Sexes","Leverkusen","City proper","Estimate - de jure","Final figure, complete","2012","161195",""
"Germany","2012","Total","Both Sexes","Lübeck","City proper","Estimate - de jure","Final figure, complete","2012","210577",""
"Germany","2012","Total","Both Sexes","Ludwigshafen am Rhein","City proper","Estimate - de jure","Final figure, complete","2012","165560",""
"Germany","2012","Total","Both Sexes","Magdeburg","City proper","Estimate - de jure","Final figure, complete","2012","232364",""
"Germany","2012","Total","Both Sexes","Mainz","City proper","Estimate - de jure","Final figure, complete","2012","200957",""
"Germany","2012","Total","Both Sexes","Mannheim","City proper","Estimate - de jure","Final figure, complete","2012","314931",""
"Germany","2012","Total","Both Sexes","Moers","City proper","Estimate - de jure","Final figure, complete","2012","105102",""
"Germany","2012","Total","Both Sexes","Mönchengladbach","City proper","Estimate - de jure","Final figure, complete","2012","257208",""
"Germany","2012","Total","Both Sexes","Mülheim an der Ruhr","City proper","Estimate - de jure","Final figure, complete","2012","167156",""
"Germany","2012","Total","Both Sexes","München","City proper","Estimate - de jure","Final figure, complete","2012","1378176",""
"Germany","2012","Total","Both Sexes","Münster (Westf.)","City proper","Estimate - de jure","Final figure, complete","2012","291754",""
"Germany","2012","Total","Both Sexes","Neuss","City proper","Estimate - de jure","Final figure, complete","2012","152010",""
"Germany","2012","Total","Both Sexes","Nürnberg","City proper","Estimate - de jure","Final figure, complete","2012","510602",""
"Germany","2012","Total","Both Sexes","Oberhausen","City proper","Estimate - de jure","Final figure, complete","2012","212568",""
"Germany","2012","Total","Both Sexes","Offenbach am Main","City proper","Estimate - de jure","Final figure, complete","2012","122705",""
"Germany","2012","Total","Both Sexes","Oldenburg (Oldenburg)","City proper","Estimate - de jure","Final figure, complete","2012","162481",""
"Germany","2012","Total","Both Sexes","Osnabrück","City proper","Estimate - de jure","Final figure, complete","2012","165021",""
"Germany","2012","Total","Both Sexes","Paderborn","City proper","Estimate - de jure","Final figure, complete","2012","147688",""
"Germany","2012","Total","Both Sexes","Pforzheim","City proper","Estimate - de jure","Final figure, complete","2012","120709",""
"Germany","2012","Total","Both Sexes","Potsdam","City proper","Estimate - de jure","Final figure, complete","2012","158902",""
"Germany","2012","Total","Both Sexes","Recklinghausen","City proper","Estimate - de jure","Final figure, complete","2012","117672",""
"Germany","2012","Total","Both Sexes","Regensburg","City proper","Estimate - de jure","Final figure, complete","2012","136577",""
"Germany","2012","Total","Both Sexes","Remscheid","City proper","Estimate - de jure","Final figure, complete","2012","109596",""
"Germany","2012","Total","Both Sexes","Reutlingen","City proper","Estimate - de jure","Final figure, complete","2012","112735",""
"Germany","2012","Total","Both Sexes","Rostock","City proper","Estimate - de jure","Final figure, complete","2012","204260",""
"Germany","2012","Total","Both Sexes","Saarbrücken","City proper","Estimate - de jure","Final figure, complete","2012","176135",""
"Germany","2012","Total","Both Sexes","Salzgitter","City proper","Estimate - de jure","Final figure, complete","2012","101750",""
"Germany","2012","Total","Both Sexes","Siegen","City proper","Estimate - de jure","Final figure, complete","2012","103370",""
"Germany","2012","Total","Both Sexes","Solingen","City proper","Estimate - de jure","Final figure, complete","2012","159699",""
"Germany","2012","Total","Both Sexes","Stuttgart","City proper","Estimate - de jure","Final figure, complete","2012","613392",""
"Germany","2012","Total","Both Sexes","Trier","City proper","Estimate - de jure","Final figure, complete","2012","105675",""
"Germany","2012","Total","Both Sexes","Ulm","City proper","Estimate - de jure","Final figure, complete","2012","123672",""
"Germany","2012","Total","Both Sexes","Wiesbaden","City proper","Estimate - de jure","Final figure, complete","2012","278919",""
"Germany","2012","Total","Both Sexes","Wolfsburg","City proper","Estimate - de jure","Final figure, complete","2012","122583",""
"Germany","2012","Total","Both Sexes","Wuppertal","City proper","Estimate - de jure","Final figure, complete","2012","349470",""
"Germany","2012","Total","Both Sexes","Würzburg","City proper","Estimate - de jure","Final figure, complete","2012","133808",""
"Germany","2012","Total","Male","Aachen","City proper","Estimate - de jure","Final figure, complete","2012","134998",""
"Germany","2012","Total","Male","Augsburg","City proper","Estimate - de jure","Final figure, complete","2012","129743",""
"Germany","2012","Total","Male","Bergisch Gladbach","City proper","Estimate - de jure","Final figure, complete","2012","50958",""
"Germany","2012","Total","Male","BERLIN","City proper","Estimate - de jure","Final figure, complete","2012","1717645",""
"Germany","2012","Total","Male","Bielefeld","City proper","Estimate - de jure","Final figure, complete","2012","154922",""
"Germany","2012","Total","Male","Bochum","City proper","Estimate - de jure","Final figure, complete","2012","182585",""
"Germany","2012","Total","Male","Bonn","City proper","Estimate - de jure","Final figure, complete","2012","157518",""
"Germany","2012","Total","Male","Bottrop","City proper","Estimate - de jure","Final figure, complete","2012","56170",""
"Germany","2012","Total","Male","Braunschweig","City proper","Estimate - de jure","Final figure, complete","2012","123934",""
"Germany","2012","Total","Male","Bremen","City proper","Estimate - de jure","Final figure, complete","2012","266554",""
"Germany","2012","Total","Male","Bremerhaven","City proper","Estimate - de jure","Final figure, complete","2012","56223",""
"Germany","2012","Total","Male","Chemnitz","City proper","Estimate - de jure","Final figure, complete","2012","117404",""
"Germany","2012","Total","Male","Cottbus","City proper","Estimate - de jure","Final figure, complete","2012","50338",""
"Germany","2012","Total","Male","Darmstadt","City proper","Estimate - de jure","Final figure, complete","2012","75293",""
"Germany","2012","Total","Male","Dortmund","City proper","Estimate - de jure","Final figure, complete","2012","285444",""
"Germany","2012","Total","Male","Dresden","City proper","Estimate - de jure","Final figure, complete","2012","260936",""
"Germany","2012","Total","Male","Duisburg","City proper","Estimate - de jure","Final figure, complete","2012","239730",""
"Germany","2012","Total","Male","Düsseldorf","City proper","Estimate - de jure","Final figure, complete","2012","282408",""
"Germany","2012","Total","Male","Erfurt","City proper","Estimate - de jure","Final figure, complete","2012","100028",""
"Germany","2012","Total","Male","Erlangen","City proper","Estimate - de jure","Final figure, complete","2012","52243",""
"Germany","2012","Total","Male","Essen","City proper","Estimate - de jure","Final figure, complete","2012","276029",""
"Germany","2012","Total","Male","Frankfurt am Main","City proper","Estimate - de jure","Final figure, complete","2012","339541",""
"Germany","2012","Total","Male","Freiburg im Breisgau","City proper","Estimate - de jure","Final figure, complete","2012","109357",""
"Germany","2012","Total","Male","Fürth","City proper","Estimate - de jure","Final figure, complete","2012","56583",""
"Germany","2012","Total","Male","Gelsenkirchen","City proper","Estimate - de jure","Final figure, complete","2012","125063",""
"Germany","2012","Total","Male","Göttingen","City proper","Estimate - de jure","Final figure, complete","2012","58864",""
"Germany","2012","Total","Male","Hagen","City proper","Estimate - de jure","Final figure, complete","2012","90456",""
"Germany","2012","Total","Male","Halle (Saale)","City proper","Estimate - de jure","Final figure, complete","2012","111343",""
"Germany","2012","Total","Male","Hamburg","City proper","Estimate - de jure","Final figure, complete","2012","880972",""
"Germany","2012","Total","Male","Hamm","City proper","Estimate - de jure","Final figure, complete","2012","90817",""
"Germany","2012","Total","Male","Hannover","City proper","Estimate - de jure","Final figure, complete","2012","254872",""
"Germany","2012","Total","Male","Heidelberg","City proper","Estimate - de jure","Final figure, complete","2012","70991",""
"Germany","2012","Total","Male","Heilbronn","City proper","Estimate - de jure","Final figure, complete","2012","61698",""
"Germany","2012","Total","Male","Herne","City proper","Estimate - de jure","Final figure, complete","2012","80903",""
"Germany","2012","Total","Male","Hildesheim","City proper","Estimate - de jure","Final figure, complete","2012","48476",""
"Germany","2012","Total","Male","Ingolstadt","City proper","Estimate - de jure","Final figure, complete","2012","63519",""
"Germany","2012","Total","Male","Jena","City proper","Estimate - de jure","Final figure, complete","2012","52240",""
"Germany","2012","Total","Male","Karlsruhe","City proper","Estimate - de jure","Final figure, complete","2012","149559",""
"Germany","2012","Total","Male","Kassel","City proper","Estimate - de jure","Final figure, complete","2012","94760",""
"Germany","2012","Total","Male","Kiel","City proper","Estimate - de jure","Final figure, complete","2012","118724",""
"Germany","2012","Total","Male","Koblenz","City proper","Estimate - de jure","Final figure, complete","2012","51312",""
"Germany","2012","Total","Male","Köln","City proper","Estimate - de jure","Final figure, complete","2012","492416",""
"Germany","2012","Total","Male","Krefeld","City proper","Estimate - de jure","Final figure, complete","2012","114084",""
"Germany","2012","Total","Male","Leipzig","City proper","Estimate - de jure","Final figure, complete","2012","258599",""
"Germany","2012","Total","Male","Leverkusen","City proper","Estimate - de jure","Final figure, complete","2012","78161",""
"Germany","2012","Total","Male","Lübeck","City proper","Estimate - de jure","Final figure, complete","2012","100356",""
"Germany","2012","Total","Male","Ludwigshafen am Rhein","City proper","Estimate - de jure","Final figure, complete","2012","82734",""
"Germany","2012","Total","Male","Magdeburg","City proper","Estimate - de jure","Final figure, complete","2012","113076",""
"Germany","2012","Total","Male","Mainz","City proper","Estimate - de jure","Final figure, complete","2012","96929",""
"Germany","2012","Total","Male","Mannheim","City proper","Estimate - de jure","Final figure, complete","2012","156890",""
"Germany","2012","Total","Male","Moers","City proper","Estimate - de jure","Final figure, complete","2012","50675",""
"Germany","2012","Total","Male","Mönchengladbach","City proper","Estimate - de jure","Final figure, complete","2012","124957",""
"Germany","2012","Total","Male","Mülheim an der Ruhr","City proper","Estimate - de jure","Final figure, complete","2012","80226",""
"Germany","2012","Total","Male","München","City proper","Estimate - de jure","Final figure, complete","2012","670940",""
"Germany","2012","Total","Male","Münster (Westf.)","City proper","Estimate - de jure","Final figure, complete","2012","136802",""
"Germany","2012","Total","Male","Neuss","City proper","Estimate - de jure","Final figure, complete","2012","73572",""
"Germany","2012","Total","Male","Nürnberg","City proper","Estimate - de jure","Final figure, complete","2012","247939",""
"Germany","2012","Total","Male","Oberhausen","City proper","Estimate - de jure","Final figure, complete","2012","103548",""
"Germany","2012","Total","Male","Offenbach am Main","City proper","Estimate - de jure","Final figure, complete","2012","61820",""
"Germany","2012","Total","Male","Oldenburg (Oldenburg)","City proper","Estimate - de jure","Final figure, complete","2012","78432",""
"Germany","2012","Total","Male","Osnabrück","City proper","Estimate - de jure","Final figure, complete","2012","79147",""
"Germany","2012","Total","Male","Paderborn","City proper","Estimate - de jure","Final figure, complete","2012","72756",""
"Germany","2012","Total","Male","Pforzheim","City proper","Estimate - de jure","Final figure, complete","2012","58646",""
"Germany","2012","Total","Male","Potsdam","City proper","Estimate - de jure","Final figure, complete","2012","77074",""
"Germany","2012","Total","Male","Recklinghausen","City proper","Estimate - de jure","Final figure, complete","2012","56896",""
"Germany","2012","Total","Male","Regensburg","City proper","Estimate - de jure","Final figure, complete","2012","65760",""
"Germany","2012","Total","Male","Remscheid","City proper","Estimate - de jure","Final figure, complete","2012","53346",""
"Germany","2012","Total","Male","Reutlingen","City proper","Estimate - de jure","Final figure, complete","2012","55071",""
"Germany","2012","Total","Male","Rostock","City proper","Estimate - de jure","Final figure, complete","2012","100478",""
"Germany","2012","Total","Male","Saarbrücken","City proper","Estimate - de jure","Final figure, complete","2012","85020",""
"Germany","2012","Total","Male","Salzgitter","City proper","Estimate - de jure","Final figure, complete","2012","49935",""
"Germany","2012","Total","Male","Siegen","City proper","Estimate - de jure","Final figure, complete","2012","51036",""
"Germany","2012","Total","Male","Solingen","City proper","Estimate - de jure","Final figure, complete","2012","77409",""
"Germany","2012","Total","Male","Stuttgart","City proper","Estimate - de jure","Final figure, complete","2012","305347",""
"Germany","2012","Total","Male","Trier","City proper","Estimate - de jure","Final figure, complete","2012","50255",""
"Germany","2012","Total","Male","Ulm","City proper","Estimate - de jure","Final figure, complete","2012","60965",""
"Germany","2012","Total","Male","Wiesbaden","City proper","Estimate - de jure","Final figure, complete","2012","134566",""
"Germany","2012","Total","Male","Wolfsburg","City proper","Estimate - de jure","Final figure, complete","2012","60370",""
"Germany","2012","Total","Male","Wuppertal","City proper","Estimate - de jure","Final figure, complete","2012","168999",""
"Germany","2012","Total","Male","Würzburg","City proper","Estimate - de jure","Final figure, complete","2012","62513",""
"Germany","2012","Total","Female","Aachen","City proper","Estimate - de jure","Final figure, complete","2012","125456",""
"Germany","2012","Total","Female","Augsburg","City proper","Estimate - de jure","Final figure, complete","2012","136904",""
"Germany","2012","Total","Female","Bergisch Gladbach","City proper","Estimate - de jure","Final figure, complete","2012","54878",""
"Germany","2012","Total","Female","BERLIN","City proper","Estimate - de jure","Final figure, complete","2012","1784227",""
"Germany","2012","Total","Female","Bielefeld","City proper","Estimate - de jure","Final figure, complete","2012","168473",""
"Germany","2012","Total","Female","Bochum","City proper","Estimate - de jure","Final figure, complete","2012","191391",""
"Germany","2012","Total","Female","Bonn","City proper","Estimate - de jure","Final figure, complete","2012","170395",""
"Germany","2012","Total","Female","Bottrop","City proper","Estimate - de jure","Final figure, complete","2012","60191",""
"Germany","2012","Total","Female","Braunschweig","City proper","Estimate - de jure","Final figure, complete","2012","126622",""
"Germany","2012","Total","Female","Bremen","City proper","Estimate - de jure","Final figure, complete","2012","281765",""
"Germany","2012","Total","Female","Bremerhaven","City proper","Estimate - de jure","Final figure, complete","2012","56759",""
"Germany","2012","Total","Female","Chemnitz","City proper","Estimate - de jure","Final figure, complete","2012","125769",""
"Germany","2012","Total","Female","Cottbus","City proper","Estimate - de jure","Final figure, complete","2012","51791",""
"Germany","2012","Total","Female","Darmstadt","City proper","Estimate - de jure","Final figure, complete","2012","73759",""
"Germany","2012","Total","Female","Dortmund","City proper","Estimate - de jure","Final figure, complete","2012","295512",""
"Germany","2012","Total","Female","Dresden","City proper","Estimate - de jure","Final figure, complete","2012","268845",""
"Germany","2012","Total","Female","Duisburg","City proper","Estimate - de jure","Final figure, complete","2012","248275",""
"Germany","2012","Total","Female","Düsseldorf","City proper","Estimate - de jure","Final figure, complete","2012","309985",""
"Germany","2012","Total","Female","Erfurt","City proper","Estimate - de jure","Final figure, complete","2012","106356",""
"Germany","2012","Total","Female","Erlangen","City proper","Estimate - de jure","Final figure, complete","2012","54083",""
"Germany","2012","Total","Female","Essen","City proper","Estimate - de jure","Final figure, complete","2012","297439",""
"Germany","2012","Total","Female","Frankfurt am Main","City proper","Estimate - de jure","Final figure, complete","2012","351977",""
"Germany","2012","Total","Female","Freiburg im Breisgau","City proper","Estimate - de jure","Final figure, complete","2012","119787",""
"Germany","2012","Total","Female","Fürth","City proper","Estimate - de jure","Final figure, complete","2012","59734",""
"Germany","2012","Total","Female","Gelsenkirchen","City proper","Estimate - de jure","Final figure, complete","2012","131589",""
"Germany","2012","Total","Female","Göttingen","City proper","Estimate - de jure","Final figure, complete","2012","62500",""
"Germany","2012","Total","Female","Hagen","City proper","Estimate - de jure","Final figure, complete","2012","96991",""
"Germany","2012","Total","Female","Halle (Saale)","City proper","Estimate - de jure","Final figure, complete","2012","122362",""
"Germany","2012","Total","Female","Hamburg","City proper","Estimate - de jure","Final figure, complete","2012","917864",""
"Germany","2012","Total","Female","Hamm","City proper","Estimate - de jure","Final figure, complete","2012","91295",""
"Germany","2012","Total","Female","Hannover","City proper","Estimate - de jure","Final figure, complete","2012","271003",""
"Germany","2012","Total","Female","Heidelberg","City proper","Estimate - de jure","Final figure, complete","2012","78642",""
"Germany","2012","Total","Female","Heilbronn","City proper","Estimate - de jure","Final figure, complete","2012","62559",""
"Germany","2012","Total","Female","Herne","City proper","Estimate - de jure","Final figure, complete","2012","83341",""
"Germany","2012","Total","Female","Hildesheim","City proper","Estimate - de jure","Final figure, complete","2012","54108",""
"Germany","2012","Total","Female","Ingolstadt","City proper","Estimate - de jure","Final figure, complete","2012","63213",""
"Germany","2012","Total","Female","Jena","City proper","Estimate - de jure","Final figure, complete","2012","53223",""
"Germany","2012","Total","Female","Karlsruhe","City proper","Estimate - de jure","Final figure, complete","2012","147929",""
"Germany","2012","Total","Female","Kassel","City proper","Estimate - de jure","Final figure, complete","2012","101736",""
"Germany","2012","Total","Female","Kiel","City proper","Estimate - de jure","Final figure, complete","2012","123317",""
"Germany","2012","Total","Female","Koblenz","City proper","Estimate - de jure","Final figure, complete","2012","55365",""
"Germany","2012","Total","Female","Köln","City proper","Estimate - de jure","Final figure, complete","2012","524739",""
"Germany","2012","Total","Female","Krefeld","City proper","Estimate - de jure","Final figure, complete","2012","120312",""
"Germany","2012","Total","Female","Leipzig","City proper","Estimate - de jure","Final figure, complete","2012","273210",""
"Germany","2012","Total","Female","Leverkusen","City proper","Estimate - de jure","Final figure, complete","2012","83034",""
"Germany","2012","Total","Female","Lübeck","City proper","Estimate - de jure","Final figure, complete","2012","110221",""
"Germany","2012","Total","Female","Ludwigshafen am Rhein","City proper","Estimate - de jure","Final figure, complete","2012","82826",""
"Germany","2012","Total","Female","Magdeburg","City proper","Estimate - de jure","Final figure, complete","2012","119288",""
"Germany","2012","Total","Female","Mainz","City proper","Estimate - de jure","Final figure, complete","2012","104028",""
"Germany","2012","Total","Female","Mannheim","City proper","Estimate - de jure","Final figure, complete","2012","158041",""
"Germany","2012","Total","Female","Moers","City proper","Estimate - de jure","Final figure, complete","2012","54427",""
"Germany","2012","Total","Female","Mönchengladbach","City proper","Estimate - de jure","Final figure, complete","2012","132251",""
"Germany","2012","Total","Female","Mülheim an der Ruhr","City proper","Estimate - de jure","Final figure, complete","2012","86930",""
"Germany","2012","Total","Female","München","City proper","Estimate - de jure","Final figure, complete","2012","707236",""
"Germany","2012","Total","Female","Münster (Westf.)","City proper","Estimate - de jure","Final figure, complete","2012","154952",""
"Germany","2012","Total","Female","Neuss","City proper","Estimate - de jure","Final figure, complete","2012","78438",""
"Germany","2012","Total","Female","Nürnberg","City proper","Estimate - de jure","Final figure, complete","2012","262663",""
"Germany","2012","Total","Female","Oberhausen","City proper","Estimate - de jure","Final figure, complete","2012","109020",""
"Germany","2012","Total","Female","Offenbach am Main","City proper","Estimate - de jure","Final figure, complete","2012","60885",""
"Germany","2012","Total","Female","Oldenburg (Oldenburg)","City proper","Estimate - de jure","Final figure, complete","2012","84049",""
"Germany","2012","Total","Female","Osnabrück","City proper","Estimate - de jure","Final figure, complete","2012","85874",""
"Germany","2012","Total","Female","Paderborn","City proper","Estimate - de jure","Final figure, complete","2012","74932",""
"Germany","2012","Total","Female","Pforzheim","City proper","Estimate - de jure","Final figure, complete","2012","62063",""
"Germany","2012","Total","Female","Potsdam","City proper","Estimate - de jure","Final figure, complete","2012","81828",""
"Germany","2012","Total","Female","Recklinghausen","City proper","Estimate - de jure","Final figure, complete","2012","60776",""
"Germany","2012","Total","Female","Regensburg","City proper","Estimate - de jure","Final figure, complete","2012","70817",""
"Germany","2012","Total","Female","Remscheid","City proper","Estimate - de jure","Final figure, complete","2012","56250",""
"Germany","2012","Total","Female","Reutlingen","City proper","Estimate - de jure","Final figure, complete","2012","57664",""
"Germany","2012","Total","Female","Rostock","City proper","Estimate - de jure","Final figure, complete","2012","103782",""
"Germany","2012","Total","Female","Saarbrücken","City proper","Estimate - de jure","Final figure, complete","2012","91115",""
"Germany","2012","Total","Female","Salzgitter","City proper","Estimate - de jure","Final figure, complete","2012","51815",""
"Germany","2012","Total","Female","Siegen","City proper","Estimate - de jure","Final figure, complete","2012","52334",""
"Germany","2012","Total","Female","Solingen","City proper","Estimate - de jure","Final figure, complete","2012","82290",""
"Germany","2012","Total","Female","Stuttgart","City proper","Estimate - de jure","Final figure, complete","2012","308045",""
"Germany","2012","Total","Female","Trier","City proper","Estimate - de jure","Final figure, complete","2012","55420",""
"Germany","2012","Total","Female","Ulm","City proper","Estimate - de jure","Final figure, complete","2012","62707",""
"Germany","2012","Total","Female","Wiesbaden","City proper","Estimate - de jure","Final figure, complete","2012","144353",""
"Germany","2012","Total","Female","Wolfsburg","City proper","Estimate - de jure","Final figure, complete","2012","62213",""
"Germany","2012","Total","Female","Wuppertal","City proper","Estimate - de jure","Final figure, complete","2012","180471",""
"Germany","2012","Total","Female","Würzburg","City proper","Estimate - de jure","Final figure, complete","2012","71295",""

